;url;title;platform
30;https://www.liputan6.com/bisnis/read/5836928/daftar-barang-dan-jasa-tak-kena-ppn-12-persen-beras-hingga-angkutan-umum;Daftar Barang dan Jasa Tak Kena PPN 12 Persen: Beras hingga Angkutan Umum;liputan6.com
31;https://www.liputan6.com/bisnis/read/5836912/ppn-naik-jadi-12-persen-pemerintah-sebar-bansos-beras-hingga-diskon-listrik-50-persen;PPN Naik jadi 12 Persen, Pemerintah Sebar Bansos Beras hingga Diskon Listrik 50 Persen;liputan6.com
32;https://www.liputan6.com/otomotif/read/5836149/toyota-berupaya-tak-naikkan-harga-mobil-di-tengah-kebijakan-opsen-pajak-kendaraan-dan-ppn-12;Toyota Berupaya Tak Naikkan Harga Mobil di Tengah Kebijakan Opsen Pajak Kendaraan dan PPN ...;liputan6.com
33;https://www.liputan6.com/bisnis/read/5834767/ppn-12-dan-paket-kebijakan-ekonomi-diumumkan-senin-16-desember-2024-pukul-1000-wib;PPN 12% dan Paket Kebijakan Ekonomi Diumumkan Senin 16 Desember 2024 Pukul 10.00 WIB;liputan6.com
34;https://www.liputan6.com/bisnis/read/5834706/apa-pengaruh-ppn-12-ke-perbankan-ini-pengakuan-ojk;Apa Pengaruh PPN 12% ke Perbankan? Ini Pengakuan OJK;liputan6.com
35;https://www.liputan6.com/news/read/5834657/pemerintah-umumkan-kenaikan-ppn-12-persen-senin-pekan-depan;Pemerintah Umumkan Kenaikan PPN 12 Persen Senin Pekan Depan;liputan6.com
36;https://www.liputan6.com/bisnis/read/5834567/ppn-jadi-12-kemampuan-bayar-kredit-bank-berkurang;PPN Jadi 12%, Kemampuan Bayar Kredit Bank Berkurang?;liputan6.com
37;https://www.liputan6.com/bisnis/read/5830821/sri-mulyani-pilih-pilah-barang-yang-kena-ppn-12;Sri Mulyani Pilih Pilah Barang yang Kena PPN 12%;liputan6.com
38;https://www.liputan6.com/bisnis/read/5830855/beras-listrik-tak-kena-ppn-12-negara-tekor-rp-2656-triliun;Beras-Listrik Tak Kena PPN 12%, Negara Tekor Rp 265,6 Triliun;liputan6.com
39;https://www.liputan6.com/bisnis/read/5826751/pemerintah-siapkan-insentif-antisipasi-ppn-12-siapa-yang-dapat;Pemerintah Siapkan Insentif Antisipasi PPN 12%, Siapa yang Dapat?;liputan6.com
40;https://www.liputan6.com/bisnis/read/5826123/barang-mewah-kena-ppn-12-persen-awas-warga-miskin-ikut-terdampak;Barang Mewah Kena PPN 12 Persen, Awas Warga Miskin Ikut Terdampak;liputan6.com
